unit,jobId,targetFile,status,score,decision,notes
S1,02_living_dining_wide_view,"D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\02_living_dining_wide_view\render_9x16.png",rejected,7,"regenerate","True vertical and realistic, but it invented too much separation around the bed zone; S1 must read as one continuous compact studio."
S1,02_living_dining_wide_view,"D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\02_living_dining_wide_view\render_9x16.png",complete,8,"pass","True vertical and realistic. Reads as S1 continuous studio from pantry/entry toward the window wall; passes despite some interpretive furniture placement."
S1,03_kitchen_pantry_wide_view,"D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\03_kitchen_pantry_wide_view\render_9x16.png",complete,8.5,"pass","True vertical and realistic. Pantry remains on the left wall, no island/peninsula, and the right-side mass reads as the bathroom/wardrobe block."
S1,04_main_bedroom_wide_view,"D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\04_main_bedroom_wide_view\render_9x16.png",rejected,0,"regenerate","Nicole saved the previous living/dining image into the bedroom slot due stale Flow candidate detection; archived and rerunning."
S1,04_main_bedroom_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\04_main_bedroom_wide_view\render_9x16.png,rejected,0,regenerate,Nicole saved the uploaded source floor plan instead of a generated render; archived and blocked source-dimension candidates.
S1,04_main_bedroom_wide_view,"D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\04_main_bedroom_wide_view\render_9x16.png",complete,8.5,"pass","True vertical and realistic. Shows the bed zone as part of the open studio with living/dining visible; no fake enclosed bedroom."
S1,05_washroom_bath_wide_view,"D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\05_washroom_bath_wide_view\render_9x16.png",rejected,0,"regenerate","Generated/saved image showed bedroom/living area instead of bathroom. Archived and prompt tightened to bathroom-only."
S1,05_washroom_bath_wide_view,"D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\05_washroom_bath_wide_view\render_9x16.png",complete,8.5,"pass","True vertical bathroom-only frame. Compact serviced-residence bath with toilet, vanity, and shower; no bedroom/living content."
S2,02_living_dining_wide_view,"D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\02_living_dining_wide_view\render_9x16.png",rejected,0,"regenerate","Nicole saved stale bathroom content from the previous Flow project. Archived; Nicole now starts a fresh Flow project per job."
S2,02_living_dining_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\_ARCHIVE_DO_NOT_USE\redo_perspective_rejected_2026-05-08\S2-02-living-dining-glass-partition-score-7-rejected.png,rejected,7,regenerate,Rejected invented glass bedroom partition and extra right-side corridor door wall not present in S2 plan.
S2,02_living_dining_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\02_living_dining_wide_view\render_9x16.png,complete,8.2,pass,True vertical and realistic. Pantry left, dining/living toward window wall, bed zone visible as open adjacency with no invented glass partition.
S2,03_kitchen_pantry_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\03_kitchen_pantry_wide_view\render_9x16.png,complete,8.4,pass,True vertical. Straight left-side pantry run with open dining/living and bed adjacency; no invented partition wall.
S2,04_main_bedroom_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\04_main_bedroom_wide_view\render_9x16.png,complete,8.1,pass,Bed zone sits along glazing and remains open to living/dining with no fake bedroom enclosure. Minor risk: room reads slightly oversized/luxury-polished versus compact S2.
S2,05_washroom_bath_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\05_washroom_bath_wide_view\render_9x16.png,complete,8.6,pass,True vertical bathroom-only render with compact toilet shower and vanity; no bedroom/living/kitchen contamination.
J1,02_living_dining_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\02_living_dining_wide_view\render_9x16.png,complete,8.3,pass,True vertical. Right-side living/dining with window wall and enclosed left-side zones preserved; no open-bedroom error.
J1,03_kitchen_pantry_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\03_kitchen_pantry_wide_view\render_9x16.png,complete,8.5,pass,True vertical. Kitchen run stays on right/lower-right with dining/living beyond; no island or invented galley corridor.
J1,04_main_bedroom_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\04_main_bedroom_wide_view\render_9x16.png,complete,8.6,pass,True vertical enclosed master bedroom with window wall and wardrobe side; does not become an open studio or wrong-room view.
J1,05_washroom_bath_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\05_washroom_bath_wide_view\render_9x16.png,complete,8.7,pass,True vertical bathroom-only render with vanity toilet and shower; no study bedroom living or kitchen content.
J3,02_living_dining_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\_ARCHIVE_DO_NOT_USE\redo_perspective_rejected_2026-05-08\J3-02-living-dining-wrong-left-glazing-score-7-rejected.png,rejected,7,regenerate,Rejected because it invented full-height left-side glazing; J3 living/dining windows should be on the top wall and the left wall should stay solid.
J3,02_living_dining_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\02_living_dining_wide_view\render_9x16.png,complete,8.1,pass,Regenerated after rejecting wrong left glazing. True vertical; solid left wall and top window wall now correct. Minor risk: foreground kitchen counter mass slightly overbuilt.
J3,03_kitchen_pantry_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\_ARCHIVE_DO_NOT_USE\redo_perspective_rejected_2026-05-08\J3-03-kitchen-galley-corridor-score-7-5-rejected.png,rejected,7.5,regenerate,Rejected because it made a narrow galley corridor with a tall right-side cabinet wall; J3 kitchen should stay lower-left and open toward dining.
J3,03_kitchen_pantry_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\03_kitchen_pantry_wide_view\render_9x16.png,complete,8.6,pass,Regenerated after rejecting galley corridor. True vertical; lower-left wall-side kitchen open toward dining/living; no side glazing or right-side tunnel.
J3,04_main_bedroom_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\04_main_bedroom_wide_view\render_9x16.png,complete,8.4,pass,True vertical enclosed upper-right master bedroom; not Bedroom 1 and not open studio. Door/wardrobe side visible, exterior glazing preserved.
J3,05_washroom_bath_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\05_washroom_bath_wide_view\render_9x16.png,complete,8.7,pass,True vertical master-bath-only render with toilet vanity and shower; no secondary bath or bedroom/living/kitchen contamination.
M1,02_living_dining_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\02_living_dining_wide_view\render_9x16.png,complete,8.5,pass,True vertical. Lower-left living/dining with bottom glazing and kitchen above; bedrooms/study/baths remain enclosed off side corridor.
M1,03_kitchen_pantry_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\03_kitchen_pantry_wide_view\render_9x16.png,complete,8.2,pass,True vertical. Kitchen stays tied to upper-left entry/living-dining sequence with living beyond. Minor risk: counter shape slightly more sculpted than floor plan.
M1,04_main_bedroom_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\04_main_bedroom_wide_view\render_9x16.png,complete,8.5,pass,True vertical lower-right master bedroom with exterior glazing and wardrobe side; not Bedroom 1 or study.
M1,05_washroom_bath_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\05_washroom_bath_wide_view\render_9x16.png,complete,8.4,pass,True vertical primary master bath with tub shower toilet and vanity; no Bath 1 or wrong-room content. Minor risk: reads slightly larger/luxer than plan footprint.
DK2,02_living_dining_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\02_living_dining_wide_view\render_9x16.png,complete,8.3,pass,True vertical. Main-residence living/dining with dry-kitchen adjacency; not the top studio suite. Minor risk: glazing reads more panoramic than plan.
DK2,03_kitchen_pantry_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\_ARCHIVE_DO_NOT_USE\redo_perspective_rejected_2026-05-08\DK2-03-kitchen-stale-ad-contamination-score-0-rejected.png,rejected,0,regenerate,Rejected stale/gallery contamination: saved unrelated ad illustration instead of architectural kitchen render.
DK2,03_kitchen_pantry_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\03_kitchen_pantry_wide_view\render_9x16.png,complete,8.3,pass,Regenerated after stale ad contamination. True vertical main dry/wet kitchen with living/dining adjacency; not studio pantry. Minor risk: island mass simplified.
DK2,04_main_bedroom_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\04_main_bedroom_wide_view\render_9x16.png,complete,8.6,pass,True vertical enclosed main-residence lower-right master bedroom with wardrobe/entry side and exterior glazing; not Bedroom 1 or studio bed.
DK2,05_washroom_bath_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\_ARCHIVE_DO_NOT_USE\redo_perspective_rejected_2026-05-08\DK2-05-master-bath-invented-tub-score-7-8-rejected.png,rejected,7.8,regenerate,Rejected because it selected the right master bath but invented a bathtub-like fixture; DK2 master bath should show shower toilet and vanity only.
DK2,05_washroom_bath_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\05_washroom_bath_wide_view\render_9x16.png,complete,8.5,pass,Regenerated after rejecting invented tub. True vertical main master bath with shower toilet and vanity only; not Bath 1 or studio Bath 2.
S1,02_living_dining_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\_ARCHIVE_DO_NOT_USE\viewer_user_reported_bad_2026-05-08\S1-02-living-dining-false-divider-tv-wrong-side.png,rejected,6.5,regenerate,User-reported failure: false divider/wall between sofa and bed plus TV on the wrong side for the S1 open studio plan.
S1,02_living_dining_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\02_living_dining_wide_view\render_9x16.png,complete,8.2,pass,Regenerated with open-studio correction: no divider between sofa and bed, bed visible in same room, TV/console returned to the left wall.
M1,02_living_dining_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\_ARCHIVE_DO_NOT_USE\viewer_user_reported_bad_2026-05-08\M1-02-living-dining-window-on-floor.png,rejected,6.8,regenerate,User-reported failure: exterior glazing/city view appeared as a floor-level window in the foreground instead of a vertical wall window.
M1,02_living_dining_wide_view,D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\02_living_dining_wide_view\render_9x16.png,complete,8.1,pass,Regenerated with floor-plane correction: continuous interior floor and upright vertical glazing at the far living/dining wall.
